,date,sex,confirmed,deceased
280,2020-07-22,female,7726,140
281,2020-07-22,male,6153,157
282,2020-07-23,female,7746,140
283,2020-07-23,male,6192,157
284,2020-07-24,female,7764,140
285,2020-07-24,male,6215,158
286,2020-07-25,female,7781,140
287,2020-07-25,male,6311,158
288,2020-07-26,female,7790,140
289,2020-07-26,male,6360,158
290,2020-07-27,female,7803,141
291,2020-07-27,male,6372,158
292,2020-07-28,female,7809,141
293,2020-07-28,male,6394,159
294,2020-07-29,female,7825,141
295,2020-07-29,male,6426,159
296,2020-07-30,female,7830,141
297,2020-07-30,male,6439,159
298,2020-07-31,female,7842,141
299,2020-07-31,male,6463,160
300,2020-08-01,female,7850,141
301,2020-08-01,male,6486,160
302,2020-08-02,female,7859,94
303,2020-08-02,male,6507,106
304,2020-08-03,female,7867,141
305,2020-08-03,male,6522,160
306,2020-08-04,female,7878,141
307,2020-08-04,male,6545,160
308,2020-08-05,female,7888,142
309,2020-08-05,male,6568,160
310,2020-08-06,female,7897,142
311,2020-08-06,male,6602,160
312,2020-08-07,female,7904,143
313,2020-08-07,male,6615,160
314,2020-08-08,female,7924,143
315,2020-08-08,male,6638,161
316,2020-08-09,female,7943,143
317,2020-08-09,male,6655,162
318,2020-08-10,female,7957,143
319,2020-08-10,male,6669,162
320,2020-08-11,female,7971,143
321,2020-08-11,male,6689,162
322,2020-08-12,female,7991,143
323,2020-08-12,male,6723,162
324,2020-08-13,female,8016,143
325,2020-08-13,male,6754,162
326,2020-08-14,female,8068,143
327,2020-08-14,male,6805,162
328,2020-08-15,female,8164,143
329,2020-08-15,male,6875,162
330,2020-08-16,female,8341,143
331,2020-08-16,male,6977,162
332,2020-08-17,female,8463,143
333,2020-08-17,male,7052,162
334,2020-08-18,female,8619,143
335,2020-08-18,male,7142,163
336,2020-08-19,female,8807,143
337,2020-08-19,male,7251,163
338,2020-08-20,female,8962,144
339,2020-08-20,male,7384,163
340,2020-08-21,female,9138,146
341,2020-08-21,male,7532,163
342,2020-08-22,female,9325,146
343,2020-08-22,male,7677,163
344,2020-08-23,female,9565,146
345,2020-08-23,male,7834,163
346,2020-08-24,female,9713,146
347,2020-08-24,male,7952,163
348,2020-08-25,female,9856,146
349,2020-08-25,male,8089,164
350,2020-08-26,female,10031,147
351,2020-08-26,male,8234,165
352,2020-08-27,female,10265,148
353,2020-08-27,male,8441,165
354,2020-08-28,female,10461,149
355,2020-08-28,male,8616,167
356,2020-08-29,female,10643,151
357,2020-08-29,male,8757,170
358,2020-08-30,female,10788,151
359,2020-08-30,male,8911,172
360,2020-08-31,female,10922,152
361,2020-08-31,male,9025,172
